photo_id,business_id,caption,label
LgRZ8aLeK3CLsMEimDTFWw,Nit7oji_POMoRxZ3q2ichg,Exterior of the brewery,outside
HWkn9a4UKPigV8pRXDEjRg,WNYQBjrTpX2FMR9cbZz3lw,,drink
uTY3XDLFphI8yqwEIrjRuw,0TwZfZHis6e4o6sBogUJVQ,Plenty of donuts to choose from,inside
_8JYPprSU90KTr2ix6mtPg,_qJqhR3q9TA3SB2BPY3PJw,,food
vthHs8vc9C-f-Aixh1FB8Q,FzU5a6v8jhFP2-tj2tXBMQ,,inside
-7MeYZ6C6sB3DRii_kF1kA,muxda1cSVtplETqTfYVgZA,Outdoor seating,outside
jLWj48yy79IWZ-4G-nOLmA,TdrNka-oPWf4B-jN9rKltw,View from Bok Bar,outside
W2VHx1Hw0AtOnM6VTuTVew,Zx05t1cRAipPrpQOtzd9RQ,Love this place!,outside
Kvz-jVXg5evIhkGkdKmONA,jmwasbZfgj3honf79qKsnA,Outside Sign,outside
9u_K6Do4sHmCS2EhYP1epA,hyqQrok-ZwXUASBVLGWBuQ,Miso,drink
-tB_mM8QIYQrnYdzN71XRg,Bfn7SYzvvemCOnjyKd4eaw,SPIKED JASMINE TEA,drink
x4Uiwq1E5r8181hE9wNMZQ,OI2J5UsaCSD1xFnY0psJ2w,Strawberry Perfection. The incendiary-er the better.,drink
LRn53FRQcWMk0koGTcxS7A,2-vIWlqdrRsnhkOj2JS0jA,,menu
eNlLx7-cVm5GhPyLripQAw,BHnCAV4_hgqgNZGdfXNJkA,Dinner #2. Get the crawfish. And the pork hocks. And the crab. And the corn.,food
JH33JjpWiMx3XGDxnluIUQ,4nt8j6hmwVfMnmcVARbUIg,,drink
ukQY-rcV4bHTNXZFcq0I-w,EBonJ5tjkxBEUezwosVlLg,,menu
cA6TOuhgMp0IFsixb4IixA,oAw4bvhSRfhq98cgrKsVcg,,food
OVA_m9P1elG9FP-j-v147g,TPDnR26QPqU9sWanjd-ldg,,menu
gkBFccptdCUZvHnvNF2qZA,jLaPtjlLfRSaoBWIcHcSQg,mussel,food
qmkDwwa5gu5Vo-PVaWCGaw,gTC8IQ_i8zXytWSly3Ttvg,,food
cW09ZIfrQmYZPaipfft-Nw,v7dKKlpLH36GQTIX5qIReQ,new menu,menu
CbhwueF9RiK4uYFjN0OGtA,AhptHEV4nFleCv4yOwp6fg,,outside
OsUtixG9rs7WlBABoxTxhg,gVU0U7gNBMQxKTzqmRtdLg,Handsome man (not on the menu!),drink
SuIZ_-76s7w4UItakmy0dw,FlDkxuO6MGrW7x1OJTtJew,,inside
95rP6rgQO-g0zu4br67mHw,avivi8rQFEaR9iH_CZ1iBA,,outside
tr8q2HM42fdA6TlIJvcbXQ,g4WzNohp7YOYv6-MEJiZJA,,outside
8aaSLcqTOstd72Hv7bGAfw,bqLtBdYhS-Rw1QNEHCiQZw,BYOB,drink
xfOHVud1XDXcACVYj_F2rQ,2rnDTrLx9yiWnfDX2P3EFg,,drink
gJkJzZiKPz8V-n0iY2L3WQ,qb28j-FNX1_6xm7u372TZA,Seafood Okra Gumbo (Cup),food
X7YrEdTDnnu58UnR_y1LSA,UVHHGDqvZZHRC9nO-kH9wg,,drink
m-3O8ULMBVWvek8Mnb6f3w,pp1WQCg_2nr7Ght84qSSyw,,drink
z2snVexR10ZPIgT0w6qVhA,A5lh_QGlxWAuYWSTZKH08g,,outside
IPchuyfRU-fHVsdg8GdrQg,xAfYjdlOdDU0Q5SkHU7Q2Q,,drink
xyxRQO3R4nKKUsNIx5RKzQ,iC12uB5WlrarJg55hVqieg,,drink
A6ch32XK7P5ASgCWpmH0UQ,R3h2cGGF_h-2vnvazbPU2Q,,outside
hSOVAP67jEINeI7l8yk0Cw,OXDo1mHlp2Io3CM6a1aB1w,Beautiful Pot Stickers.,food
hN4GRKJKqb1aUNHP7Wh5Og,DNMdZVVfhus2H-dH0mI3HA,,outside
X2LzF6nhyJEOno-7yZMA-w,X4xVN8FHX5re8jLr3trs2g,,inside
JY6hZBHzvbqJ5HJcK9oBAQ,_EKvNMC2Mm67HzqNIzLgXg,,menu
CcZ7JwhQ2KPrZD4ieHJ5BQ,2rmpfdyV2POqpXtmPHO_IQ,,outside
BLnBeO1tbym67Vw7Wo89OQ,pAwtNwMQC_EcuX6opGskWQ,,inside
54iXXAyyKiPx_T_RR0yTDQ,4YoVUmkpUBNtdYa804Wzvg,,drink
WmKJipbjxbw87lBrd2a7Lw,eL673KqwAGpJQ4z-MAaZ7Q,He loved the Chicken Gyoza,drink
Ic4LWjbpZjg6evLtK5YizQ,GwKila2gkEAmYadVFvazNw,Cabernet,drink
kX4trYNaiRxsFJcEDY0g4w,ac1AeYqs8Z4_e2X5M3if2A,Dining area,outside
CWiv3PsahtkkJkrOI7lHyg,dinxDxiWFUkEpxpIzaGHMQ,Menus,menu
Hah6zhnSA5r80lKKdrFZ3A,GzeXHLLVCD24cfJUNv0d_w,,outside
fAOLbuyGngzf5EbXTDwy2Q,iGGBxdz76mISLVgsH4Dohw,,food
D2kMk9k5zRhIcDplmojn-Q,-8luB5pJ7d9UOoiF7wikkw,,inside
oXrlt5e0qBkjnTxAwshPpA,uE_39C9Mi51XfZv68M253g,,drink
tLDCCNq4U7ZLbL-mX97YbA,f4ouae_IyCaqGo7zERBXqQ,,inside
in21iY-zOmHERKxIH4L7DQ,rDk_O0KRIqEYvoBhonLmjA,,drink
yR2N-jVT7dQBJqlKcZhqLQ,m7mAVRFEd2oRHkMgm0nayg,Quartz,inside
7n5aIJJN6usGi0dTf1dBkA,ow2MoLDzfNhTYyqEqjfpkQ,,food
zek9xlcbHIt0oFeHRj7DNA,n_RGE_Wn5L7phnlkQ919kQ,Rosewater pistachio / raspberry caramel (food insta: @aje.eats),food
3vARkTjmHZZcA9D0J7JMGg,1u2IlvwOMndfuRk9EVcieQ,Morning Kale Tonic,drink
Z1A9yrJgJA7LBK2bE60ZIw,THSP3XyEjOgqpXcqwJoCyQ,The Sushi Bar,inside
K30Pe4eZqH9UF_IO2lanFA,q61niB21oQPmZlO3wsSO7Q,,food
w3pdwo3I6xQVJaWTuDeiJw,AbRnGstMdlo5qJwPcqPCXw,Yummy yummy sauce,food
45Fxx_16g-OQ4Y7RxWUl3g,TunmRrfZb7bt53T6HJi4UQ,"Yellowtail sushi is so smooth, sensually satin-like and satisfying snappy!",food
SKOHq5ohHE8E_W3L6JuILQ,xh7mQ46QUMswpugKJFmppQ,Sides,food
5OQaMjJrb7xROl1gKa_FTg,kOOiEcy0UaWLwCPgZ95nmg,Dining Area,inside
qATlH6q8MxB4IaTAKSP2nA,ga7jZd-JccpMqdSTgY2lUA,Pork knuckles,food
BCsLtJ8afB4v30JTUUuZGw,pBluTA4ne5r2QQq7VlyycQ,,food
XHOV9RXBnp991bSlcliOvQ,pCqAtxJDMv7ha57hOkB11w,,inside
6uHR00BoVcCzTTLAQKB_cQ,6RBZfirnzE4NahJTn1UPNA,Nice salsa selection,food
LrdyNuxy2qtc2fJOR_eQWQ,nFKHu5DJMMXktBsSrOpU2w,Session IPA.,drink
ys0A2EVesZq3S2tutZXKbQ,jLsAwortT8sdnqFLo0moqA,Spaghetti Squash Casserole,food
Ra2Vck_HuCPOVP80WQFq8Q,J_RXc0Rg6JawwhbqYg_Kdw,,drink
W3a7niY0nRqwG4hR53dPYQ,j6dvIfAzbHccoySvaqjT4w,"Farm to Bowl salad, GF",food
75iJnEIMC3K1CG-4EfntTw,2aZNVfzU-3672SjRHnPoOA,,outside
6bmo-KGePBa32L66jSG7_w,g3zadDjEe-r0OKWTPQXVww,,inside
wsSzvt1MnJGb43-AJWBjuw,rhGC3v3G1C0_pGv8ObA9AA,A little pepto,drink
gJaQWbluuunBw_kJhFoUgg,sVZb87xjhbCWHQ2UXOGLrA,BYOB so bring your favorite wine!,drink
t7a92F7p_Wv1dwHgWk9Puw,UQRN2WdTyy0vU6ebc683kg,CabaRay Showroom,inside
TghFCcgscODyIoLVhT4m6w,SG7g4cJFjgWtODi28W4eaw,1-60 beers to choose....seriously!!!!,inside
BkW0S2sBDvdy_imE3BBKMg,Ih6_y2nnbg2Jw9Qdc876GA,breakfast in Indy!,inside
locfvoan0RizNOU0EiLq5Q,bW8D7Q1LAEehQshsaypkCg,Irish coffee.  Be careful it was not lacking in taste or whipped cream.,drink
-98Oyfj4cRkQNa5M68iXiw,dzAV7NCPW7PYWLYqgPE_GQ,,inside
H71PA_Jf61IxI7Dt9dVTgA,oJvOiVyzqWqOfvaRH_TflA,"Billy Gilman Feb 6, 2022. City Winery Nashville",inside
gyPRbxh_TD-zjDh1Eo7byg,M4oFZszg38THXefgu-5ydg,,inside
aIh8qm-WdKefygCiBDH0bw,68tT-waXYijVH4WGiFyQMw,,drink
-A19UGcQ7C0T8Lz5gpS1-g,4_-EWwIZ0oCtjCzTEGMNAQ,Patio,outside
5jzc2NmhYvtTNrcrrDnSKg,xkYOPbA8AL4jcQIN3xveoQ,Big Cheezy!,food
pm8vfb3jwjv80DRC57A3nQ,Tvkc8tyVUwodaR1MJAw-aw,,food
b7DSjqb57iAJVDIAp361og,vD-Avt9AUtkigHqFOFc1eQ,Buttah,food
pYhli3aPTYFjV9rablBtcg,Fx-aeVOMJ8K2fgPtRyGkSg,,food
MipOP9kRYsEums5hQb1dgw,ez6P_Mz-Keit2yZ5V7ZN3A,,inside
HraO5ptQx4pxpo6okphHIg,Z43-i4rxY0w1yqqZFzUXOg,,menu
l3rmwNeIP7DmtnIPT2Js4g,NQGCirVWCre3BQ24fodXOA,"My all time favorite: Winter melon milk tea, 1/2 sugar with pudding",drink
n4q0_BmYAij3-oISidX2jQ,6CUkqed0rhHtFwQ2i7Otsw,,outside
JIAUUqLZ-mcvAnPIcdnhMA,WzEzUDTWr4UQSQykujMwyg,The Calypso out on the balcony,drink
DCIFcJa24H9S9oa6Ds2NgQ,3Ce8r1K1O-2JKSMXdXID-w,Pumpkinland,outside
dndvH3XTSSEeY5OZPVjcZQ,sCNdu_Anatq1BKuXD86A8A,Voodoo Juice from The Crazy Lobster,outside
DU4q22CFMMOgsK5BbTPuHw,grBPIq_eJCT_SGuhvMrUZQ,,food
lQCJKtKag8iDvoN-EenDrQ,Nq1Kn7ud84upBHz9chFW0A,,inside
eqNktg76xTEIFMu7TL26jA,SsLWTTIeBgYqzinREkuzrQ,Front close view,outside
mlBpN5pwP5D24MpwNal7Qg,8wkPLsDbGU3GcW8CoD-4aA,,inside
xqzKQMekBcbfzrK8QuUxQQ,1DVFSLWmzyqRHmSyVwN81Q,,food
nDBfLkP7G37eVYxT_acOuQ,muxda1cSVtplETqTfYVgZA,,menu
K2syH4rFOkmxAnGZZ4qeLQ,WwVYDgzRO1KiAu-GRksQ5g,Calm Waters Coffee Fall Latte,drink
E4aL4AfNNFb2nBpRsP5Nyw,iNiAJAtsbV5xOQGRtce-NQ,December wine of the month,drink
xKHkcBUDWXnIBF0s9623ow,mtjU2H7EbvkJ0gGjC8yG1A,,food
DayOugHV95YF9sNGzRXn4Q,5aKoh1_j9X27L1P9X9dzgA,,food
dT4-SKCma1-qGhHN6dXewQ,s9ceDy-cVHe0uzvZpWq87Q,,food
xptahtukO2npnr6A20EcAQ,O86a724buuMGnaDVK80T-w,16,food
Ewm5a7HKIZ4AfHc-viJ9Pw,U_Ae6-egO2I0jd2jvGYdDw,Tequila Flight curated by our bar genius Lisa,drink
V1fVVKUowJdf6qgifap0Rg,IHCSJHLyz2MgXpJAVssC3Q,,outside
4BiTI03CHg6ikWUta8w_XQ,R3rHtD5-NW-iEzZ9ETlsUA,,drink
cw4b7c0eJ_s0yoOiMXToyw,CPFKi2lZJazP6IdtCdDDyg,Lavender Latte,food
ER2mVnqo_aKEbEvxdo0f2w,XQoSWEyIGHMIZKxLZOpXSg,RSL's Sandawa Sting,drink
GKWb_MdMma6GurhCzsYYag,62TxD9SH2yPtrE3jAUBpFA,Jalapeño Margarita,drink
2BO0nrgvRdvPiS8XogIFNA,uYMVRPYEqpmVXWN2xOs5KQ,,drink
988VpTn6D_k5SM-mLvclbg,wMZAnrfwV-qHiV5zdTSrzw,Buttermilk Chicken Sandwich,food
8m7zNNaUHJZ6REDm3cNbXg,ezQUvpSmcCGkoX5Pf9B5Xg,Birthday celebrations are extra special at CSz!,outside
1t36q9_yBE35-Jr5Tc6YUg,gTC8IQ_i8zXytWSly3Ttvg,,inside
Amr_wcvxpDArmIlmNnih8A,RAsM08lCA-tf6qkPan9NNA,,drink
SIxV0vjq7lViz_aTQTrApw,8MoqZqlNN9AXzG91_Hpc_Q,,drink
l29__MOeQLOcy4ebF3scoQ,fGYnHzFr1z2kv7bPRW6VMA,,inside
WeOCPAtUB0VMH6xut1CYAQ,1i0NDQ2VUchckortEI_GeA,,food
6WsZ67J7T11HFUWlNjrHng,7pN4cTiJ73R1K2jc410pWA,,outside
YKvIudy9BQJAt8Pyn9kajA,tZR09XLQ2tjOgXhSoxILXA,,inside
3pLs_TvGiB28mZC7vQfBfQ,z_bTPCOeRv7IDHSNF0bxzg,,drink
4m40r1XBUgpKKECPSQ0lBg,nEGnUIq5NC-pCc5Zjs2OhA,The garden center,outside
euAnTXWi2256MjXWccC8qw,-9NmUeTphyS9Lq1o9MACGw,Grand Ole Opry House,outside
ZzBaUqvC_VbQTXcJZUlGmA,d_UJWp4IlGS4sgnjE60eBw,,outside
tSPlz1jjbNZ84Xakl32qUw,QVGHZ_gV-0fO8GeHnNK17A,,inside
FarxSEeGUEoBzsEATje_zg,ZY2feSm2sc5nTXYHnKpMGQ,Happy Hour is 4-6pm Monda-Friday!,drink
3xSG-XOkPvlFnlYUxjVtvA,wcmatdiNPFeo6HKNNF97Ww,Lighter IPA for a hot day drinking outside,drink
K5_09rnEXthIKHnmXv6_Qg,XmpbEmS7PRdg5sIbGpjt7g,Outside seating,outside
9pgR5esKMygoxxGRqpv1cQ,GczZuKVQtsWLUgchZW9L-A,,drink
ueW4wFN_iyyzy8tUo8Fn-g,J3fd-eAmp4ttRTJbweTuGA,View from Winery,outside
s1ml9UoxzTSKM-6l38kPPQ,_vetnsfyQcbeYfxoiTIOPA,,outside
3bVHfa-2vICS2QDymuoYLQ,KuVtxfIJu4qRscngMsVcxg,,inside
CWz-FFaN5TH_bfxRG5P4Yg,DCb_WRnRaLuQ4Ozga-RduQ,,drink
HreAn0MK7N0fn6kPJNj-BQ,eiuYtZB62adMDVRkDyLQPw,"The Tiki Bar, just steps away from the beach!",outside
ER-BofdEiDsnwQdFuFIuuA,XuQ5ekbJ9eRUX06JTqJHaQ,Cocktails & Speciality Drinks,drink
aD65Sdx02H0b6cFp2M182Q,N18rU96Qr_XQtSqfQynZMg,,inside
XNYEHEXhOC722pOVqrhyBw,ac1AeYqs8Z4_e2X5M3if2A,Sazarac,drink
5NmbYjnTG5sklg3TcpmkSw,XnQ84ylyAZwh-XfHGGNBbQ,Mike and I back at Coop's Place!!,inside
Hh6tH2rocmbzJeB2g1q2_A,rv1KUBVNQkJ5WUQb49dU0Q,inside GDVD,inside
DLQHC64mETBHQDaqOS5szQ,wFHz88EklQKK3qah4rSLJw,,food
6p3zAEsyw8cPI1ULhG1g9w,MhgTe6MotVnEKn3l7vEWxg,Come and visit us at our store located in Tampa - Citrus Park Mall !,inside
qY842F4hjQVFiCxdcI545Q,9Fd-dK3TH47fHVGtG2MiNg,Casey Bazzell with her band behind San Loo,outside
wlhRaLCsbju7WFitw9M6tg,Fm16G-I-rmO3g_KTKleteQ,Breakfast Catering!,food
QA-IJdIdmPlFAlUex_96PQ,dbUoJCArsjwKLXTy2uk7pg,,outside
5PNMSP0OlcCWfSIFZXh29Q,nGElMRWr0BcQKFPa4ZBMYA,Yelp Event,food
LSpuYbbx4SSQAvF9DOAO6Q,FCCnOgjjvwQJBAy3u2fcLA,Inside,inside
kkgrKsJfN2l38L9sTjs_iA,_78Lam9Jd0W6ZmnHTvdjMg,,food
7FyDWsrrwMInZoBJbPaPng,U1Gao2oKgFaggpksDIctiQ,,food
Lc4WYIYL9kUYz03fIBrLFA,MiHEBc2XAZ0c39WAul-XBA,,drink
an1Z-AOLfIsamWXILLCzuw,9PbAOIYVVllOq6QOXoXoBg,,inside
7UKUXh0-4J16V79fbGS7DA,cNua7EAP7aoHTEp734VqWA,Basil chicken,food
Un95kbGBBXTlkbIUJafaDQ,me6_pxvVh_mQTQJSYhLwcw,,inside
MbFTGz943wd62g8xkSgRmw,M-6AXSgmDMYcWsF442mzzA,Outside,outside
kcvixYPpsZqvGF2yJ1j3TA,QIEajLDnaNgFrCHWmiXCaQ,,inside
UB-lqUVglLEIT7wkZnJekg,R3FDYMQBrMpkUquwE-eniQ,Continental,outside
Oy9AE055jK1ZPewCLKfqzg,9w6o_eyKCSNKgMtAuv6KWg,,inside
aW2f6b0emVfysC4l6yyKRA,WTdwkO3BL6-PkCTFnyAgQw,,drink
we7j1LMkM03tULqMD_ZsWQ,8rAzexb3VAcAbYPbnwrueQ,,food
Dnb93ThMuyRBGT4_JJLYlw,yd2vlqig_1inpOYcDzzHGA,,food
XfWtZdgma_s6LgByqpGmqw,Jubq4o59PS1Q3vyxBgrtQw,,food
gfWKP65ZB_3l5a_wR5TxaA,i6YvzoCYT6vCxBxqD7nR-g,One of the best Aviations I have ever had.,drink
qhNMsitpRULKont3YhZ7yQ,l4AjbrjS91Z70AYQbABxvA,Kids LOVE it here!,inside
kqN3shEund20nNxF7rP4rQ,yQh7_mOLWV2XlkbhTAk5CA,5MAY2018 Menu,menu
6XVG7oarHga1D_KC7v3snA,htxSG3PaXLHeJ6wsaQ3NTQ,,inside
WBtF1Ucd3i_SRziDO2zsVw,_KKhBOzBKV4dcNmcXxJg0g,,outside
taj8afcJFcQcIon91SQi9A,eeKJYP614nNnDwnjKpl7XA,,drink
va2TEZnf2YChq2cMfQ0EBA,tkY5BJVXxUmP4jsKavkf2g,,outside
mvHcKFTYHzKvBKqTYh_ttA,XoS-hu_i2Dr8VxzeMxLwVA,,inside
4vYGZ-7-Pz91JmkAoVYFcA,hXvf5a798WvQtFn0Zbh2yw,,outside
5lVJ-B8Q2hnKv0YivFQ8EQ,KOkkX1YK0kRuxysrwsUD7w,,food
r6NaJi8r6cX8RmfZHfXB4w,5YFqjdNj7HCkDwYjvwG50g,Side dishes,food
i6L7D7gSECLDXSG2TRpgPQ,XfFvlwTDn3Lo6CSJcTsCbg,,food
bnWobMKcq9PSIMKLpGZW0g,VQcCL9PiNL_wkGf-uF3fjg,,food
DQVNezAL0pgeC8_LthWIhA,xhmgQtl9gooBJybCuXBZPA,,food
O_SC0qeF5KM7_RIlx01SEw,GWy-teWznY1v7UfNvrGLjA,,food
4AorGoxbyv1OafVYK3A81A,OkSjPjMwXQ77h7kzhhyhDg,,food
EI9gEoh3By37eTn08oq_cA,SlZJATE_TGUU8X34UJNi4g,,menu
1i6YhHZ2vu8WneEzfkay7w,IkY2ticzHEn4QFn8hQLSWg,My first trip to philly for a cheese cake and it turnt out goods little long like but for a great sandwich it worth the wait,outside
0LFVvfO59oUEF46zL8Lw8g,6t3zWNWQKLVUHUuFp5dpDQ,,drink
EVAS1fU5lCoB_Q0CEwRIXQ,YHlZCtNLplWoXK_eoOs9-g,Oct 2021,inside
6UxHWJYrUNsq6Xvru_lQpQ,UP8zlAKoGvj3Fs-LOSBLMw,,drink
rMEq4bBZBQeegV8AHNQgbg,tszRCO-RchPXPZlsTCYgbA,Dos Equis Amber with extra lime!!!,drink
Br20ytPCfxoQUm9a7wqsAg,KWaqFiJmkePvTerZpC93GA,,drink
BfksCQKlbv3O01FZitfBZg,wrgtmWOkq1FwnlSgl6QcJg,Rosé flight & mojito,drink
XQbLzJreec3pDmOzyUgLsw,qf1fEVCrDAgjyszD6yj5Lg,"Crab, jasmine rice, edamame, cucumber, mushrooms, sesame seeds...yummy!",food
PZdk9gzbGNIuRqAL_sJvgQ,XFfuR-F1_wDbcf8xo2DVPw,,food
DB-H71Bvd-CSDpllX7u5ZA,PHqeN9MKNA_TfIUfmpBeRw,,drink
qGhxKB5XtCq96vVUww5e-Q,RmJJ979n9a2AZLUSe7_X6Q,Chef's Favorites,menu
iWQVWM6Wf8LCrtXtRlH5vw,zwBvdDWFQpYJE1UMDTlSyw,Mean Black Bean,food
sQTPsvk4zVwWWZNjPIuypA,tMzJ15VLjqIuitCXs6_bsw,,drink
3dnR8Qr3UMbcIj9zW6kWBQ,kCV9CwW28Uz1ln4IXGhGwg,"Comfortably Numb -- very coconut forward, yum!!",drink
-x3WcKRYSWuy7-oOWBM8fQ,p32eg0OGN731AMsi3QzBMw,,drink
pfZimQ14r1d2s6USv-KsUw,p_qSQwShIgQnNxGcajI4-w,,inside
HCoJ_oGZ37RJpIy7mpUvIA,sYfqfSIvVg8zVICibin7jw,,menu
X6wCM-LB2E61jEnTsUAdKQ,qsm7SkX60JsajT7Yz248FA,Chill place,inside
ndtQICaQBTENkE_nt8NlMg,b0zp6rgcv7ZcjToRoVhcmQ,Lovely ambiance,inside
HdCCreiokGymXL5p8hmpvQ,pEsWGGWiT9ElbJxmXHXMpA,Calamari,food
fK2qwcpnUBXA2Y2KTp7_dw,WY0ji9m-qAOc_6lK8h4pNw,Love the windows!!!,outside
rEp5_oJP4ZZfwWFEDCz8eQ,bqR_3sT_rNp0hZglPtX6rw,,outside
ysa3__gX1BM97ioverAvCg,o1I-pKoa6WUNpMViWaA9Fw,,drink
m5PaVQcplrNP5lENmaI1lg,qgmeeeDVmi5qiMXuOFFa-Q,Beach shanty,outside
YN_mmpvcxVqITU6lSw00kg,5qWdftveruKnOJ9FKXcGcA,Lower left of photo is the corn cake and in the center the decadent banana cream - that was delightful!!,inside
FwC0NzEqVwbvaJ_ky_4rxA,V0ffRTuD2eZkUn6dyZAgRw,,food
iNWKBUzJ0TeA9KEw3_LSeg,8q1goL8IPTfNMdEPm5ssQA,Iced Shaken Espresso,drink
afshqs2CFxCQenhdwkMzeQ,JyOfFuVEGnhLdoN3K1WewQ,$8.19 - Trash Can Omelet - 4 Stars - comes with absolutely fabulous super thin cut hash browns. Best omelet on the menu!,food
7TkI9kWBFrNnIFQjppnOGw,wHaQoyF5TncRNxiUQraJMQ,,food
0FUEsrI5mImArkyX0w_NaQ,6wzg18gopOI6tnj-7ElgMA,Sure Shot Coffee seating area,outside
InMB6sF27Zr5fNJlPVRAtw,p8pnCX2Z5aJ1C7TnSvyaNQ,Local craft beer,drink
d5nHC98h7ox140ykF5E_9g,VpJzlz3bKOJtiI1rb9kTpw,"Naan, Gobi Manchurian, and Navratan (vegetable) Korma",food
aDBBb8uu73VFdDWZcpl7zA,d5G3dpdyO60CYHukoM-_FQ,Chimichanga,food
YQpMVAshKuOhM-lDLTfTbg,EO5ne2jClfd16Sus5D6i6A,David the super efficient supervisor!,outside
q5VyOVnRAPy_wZ5eZwae-w,pUeuBWxgll2in2KqKeAR_A,View of the outside of the restaurant,outside
e_1y6DUBli6c7lRAVoMVBg,VQcCL9PiNL_wkGf-uF3fjg,,food
Vq9JmYqfuxH1JRsKfdLD7w,na6kPgbJ8c73JELysDrtuw,,menu
XTR3AlQQ4yI3ySH9MAmfgQ,hq0pGGIfaqBG36518UsWcw,Floating chandelier,inside
LltFgVApFjGWkfoMNaf2xg,uI8-q_D1pADZy8g1R1UP6Q,,food
ZJICDIP4lIArp3ZOJt82jg,gzDJSSkr3VD2ON7yWnCavA,Bar seating,outside
riXqRCv0RW3f7s6MDCt-Gg,zEKvxI5F_j_dBfwRCfQloA,2 orders of chicken and waffles with a Blood Orange Mimosa. Yum!,food
GPJ3REWKbYRbqA-S88W2hw,BJ611ELzsgZ_V_gOV2mQrw,Patio from union brewery,outside
gehgjPZcBH7HZ3K-WaxIEQ,sJz2WhvVGW8jsdQhZ_BlUQ,,inside
I8MB8apJpblh_im2RwlYqQ,Dzm1y59cLFt8OjTsZRUC6w,Nice view!,outside
